ProductID,Category,FamilyLevel1,FamilyLevel2,Universe
43220326960179274,Football,Ball,Nike Ordem V,Women
622915065731236396,Football,Ball,Nike Ordem V,Men
2020543468978812774,Football,Shorts,Nike Dri-FIT,Women
600002891277549143,Football,Shorts,Nike Dri-FIT,Women
6150916997899913693,Football,Shorts,Nike Dri-FIT,Men
1789767510212328793,Football,Ball,Adidas Telstar 18,Men
7976535603788603803,Football,Jersey,Adidas Home Jersey,Men
7429859111162785045,Football,Shorts,Nike Dri-FIT,Women
4427633171806265248,Football,Shorts,Adidas Squadra 21,Men
5048594559603960126,Football,Ball,Adidas Telstar 18,Women
3313258937855373872,Football,Shoes,Adidas Predator,Men
1440540189819119258,Football,Jersey,Nike Away Jersey,Women
1942058541554492757,Football,Jersey,Nike Away Jersey,Men
6289517112896537236,Football,Shoes,Puma Future,Men
1598302186363721653,Cycling,Bike,Trek Domane SL7,Women
5136981882227779695,Cycling,Helmet,Bell Super 3R MIPS,Women
699146474110542723,Cycling,Helmet,Bell Super 3R MIPS,Men
5844743120067318806,Cycling,Helmet,Giro Synthe MIPS,Women
6347825365049786500,Cycling,Helmet,Kask Protone,Men
3408557640255591676,Cycling,Helmet,Bell Super 3R MIPS,Women
3015871230786027971,Cycling,Helmet,Giro Synthe MIPS,Women
2512432638027754585,Cycling,Helmet,Giro Synthe MIPS,Women
1742324096674464260,Cycling,Bike,Specialized S-Works Roubaix,Men
4829398533894955132,Cycling,Bike,Trek Domane SL7,Men
653169217633564873,Cycling,Bike,Trek Domane SL7,Women
5870467538239533128,Cycling,Helmet,Kask Protone,Women
220792175035204039,Cycling,Bike,Trek Domane SL7,Women
8401747538976943061,Cycling,Bike,Trek Domane SL7,Women
4252960948080761500,Cycling,Bike,Trek Domane SL7,Men
4572128230133671034,Cycling,Helmet,Bell Super 3R MIPS,Men
1980529402270671926,Cycling,Helmet,Bell Super 3R MIPS,Men
2865351436513184389,Cycling,Bike,Specialized S-Works Roubaix,Women
7713987111163193999,Cycling,Bike,Giant TCR Advanced Pro,Men
8863415078764166493,Cycling,Bike,Trek Domane SL7,Men
1993798909216078393,Cycling,Bike,Specialized S-Works Roubaix,Men
571609036596940636,Cycling,Bike,Specialized S-Works Roubaix,Men
2543594870074543795,Cycling,Helmet,Bell Super 3R MIPS,Men
8245001356258439613,Cycling,Bike,Giant TCR Advanced Pro,Women
21230906189714132,Cycling,Bike,Trek Domane SL7,Men
3114117051015500153,Cycling,Helmet,Bell Super 3R MIPS,Women
6428679484233187346,Cycling,Bike,Trek Domane SL7,Women
5321436289224826530,Cycling,Bike,Trek Domane SL7,Women
3474631189725910719,Cycling,Helmet,Kask Protone,Men
4826984649531064174,Cycling,Helmet,Bell Super 3R MIPS,Men
6518146423861864701,Cycling,Helmet,Giro Synthe MIPS,Men
5616359347717716060,Cycling,Helmet,Kask Protone,Women
7627221937728853175,Cycling,Helmet,Kask Protone,Women
8365621660166003331,Cycling,Bike,Specialized S-Works Roubaix,Women
5547308197598543046,Cycling,Helmet,Bell Super 3R MIPS,Men
8842374365833057329,Cycling,Bike,Giant TCR Advanced Pro,Women
8947437262045843489,Cycling,Helmet,Giro Synthe MIPS,Men
6679682990439935094,Cycling,Helmet,Kask Protone,Men
5394965350737647948,Cycling,Bike,Specialized S-Works Roubaix,Men
8166154267929175071,Cycling,Helmet,Bell Super 3R MIPS,Men
8231554530029562481,Cycling,Bike,Giant TCR Advanced Pro,Women
4164640881280873605,Cycling,Bike,Specialized S-Works Roubaix,Women
8956636468583281038,Cycling,Helmet,Kask Protone,Women
2963817868773004937,Cycling,Bike,Giant TCR Advanced Pro,Men
8244714719430300086,Cycling,Bike,Trek Domane SL7,Men
5493798505919926233,Cycling,Helmet,Kask Protone,Men
3410821849537755399,Cycling,Helmet,Kask Protone,Men
5763643804920105665,Cycling,Bike,Trek Domane SL7,Men
7560673290258626282,Cycling,Bike,Specialized S-Works Roubaix,Women
2533774282762468893,Cycling,Bike,Trek Domane SL7,Women
2017040668001935205,Cycling,Helmet,Giro Synthe MIPS,Women
7317454998165205409,Cycling,Bike,Giant TCR Advanced Pro,Men
5887039515959056367,Cycling,Helmet,Kask Protone,Men
4957924555471965879,Cycling,Helmet,Giro Synthe MIPS,Women
3552068262654047911,Cycling,Helmet,Bell Super 3R MIPS,Men
5400492941473647876,Cycling,Bike,Trek Domane SL7,Women
8049492952247300526,Cycling,Bike,Trek Domane SL7,Women
1644134119396646406,Cycling,Helmet,Kask Protone,Women
3040304315471753990,Cycling,Helmet,Kask Protone,Men
5530545819156119646,Cycling,Bike,Trek Domane SL7,Women
3518360821914613950,Cycling,Bike,Giant TCR Advanced Pro,Men
1683880830429140569,Cycling,Bike,Trek Domane SL7,Men
1954605873747079184,Cycling,Bike,Giant TCR Advanced Pro,Women
2491533669928477826,Cycling,Helmet,Bell Super 3R MIPS,Women
7698242250691602337,Cycling,Bike,Trek Domane SL7,Women
1824708369641357531,Cycling,Bike,Specialized S-Works Roubaix,Men
9191848402059506409,Cycling,Helmet,Bell Super 3R MIPS,Women
8478556206069244456,Cycling,Bike,Trek Domane SL7,Men
4701124808393647918,Cycling,Bike,Giant TCR Advanced Pro,Men
1777051216997138697,Cycling,Bike,Trek Domane SL7,Men
8396690750056714961,Cycling,Helmet,Kask Protone,Men
3187203208214984397,Cycling,Bike,Giant TCR Advanced Pro,Men
9097718929468416289,Cycling,Helmet,Kask Protone,Men
5073834224062463273,Cycling,Helmet,Bell Super 3R MIPS,Men
6390526811488423697,Cycling,Bike,Trek Domane SL7,Men
7841319755096661539,Cycling,Helmet,Bell Super 3R MIPS,Women
7235031503707092521,Cycling,Helmet,Bell Super 3R MIPS,Men
6030182498337383128,Cycling,Helmet,Giro Synthe MIPS,Men
6575619891260855063,Cycling,Bike,Trek Domane SL7,Men
1134734913383733756,Cycling,Helmet,Bell Super 3R MIPS,Women
1748053043104884449,Cycling,Helmet,Kask Protone,Women
410533796925327007,Cycling,Helmet,Bell Super 3R MIPS,Women
3013973006261196559,Cycling,Helmet,Kask Protone,Men
8291554817528377711,Cycling,Bike,Giant TCR Advanced Pro,Men
5265104624661254045,Cycling,Bike,Giant TCR Advanced Pro,Women
6407611025061695575,Cycling,Bike,Trek Domane SL7,Men
6759280638460278241,Cycling,Bike,Specialized S-Works Roubaix,Men
5637571004588484446,Cycling,Bike,Specialized S-Works Roubaix,Women
6233675649718721793,Cycling,Helmet,Kask Protone,Women
2986413505419419798,Cycling,Helmet,Bell Super 3R MIPS,Men
5354508234107612830,Cycling,Bike,Specialized S-Works Roubaix,Men
7769439745201289030,Cycling,Bike,Trek Domane SL7,Women
2221490830183156666,Cycling,Bike,Trek Domane SL7,Men
8079992903756386758,Cycling,Helmet,Giro Synthe MIPS,Women
3578114458996276765,Cycling,Bike,Specialized S-Works Roubaix,Men
7614119981475258506,Cycling,Helmet,Bell Super 3R MIPS,Women
6454649211167206034,Cycling,Bike,Specialized S-Works Roubaix,Women
